cents_mid,cent,θεός_n,θεός_freq,Ζεύς_n,Ζεύς_freq,εὐσεβής_n,εὐσεβής_freq,ἱερός_n,ἱερός_freq,ἀγαθός_n,ἀγαθός_freq,ἀρετή_n,ἀρετή_freq,δίκαιος_n,δίκαιος_freq,τιμή_n,τιμή_freq,cent_label
-750,"('8BCE', -800, -701)",897,0.004117379749101474,850,0.0039016419027160017,0,0.0,100,0.0004590166944371767,141,0.0006472135391564192,41,0.00018819684471924243,25,0.00011475417360929417,59,0.00027081984971793425,8BCE
-650,"('7BCE', -700, -601)",185,0.006708488958189796,212,0.007687565725060739,0,0.0,26,0.0009428146643942416,22,0.0007977662544874351,4,0.00014504840990680639,11,0.00039888312724371757,34,0.0012329114842078543,7BCE
-550,"('6BCE', -600, -501)",570,0.004711133151500124,450,0.0037193156459211507,12,9.918175055789735e-05,33,0.0002727498140342177,117,0.0009670220679394992,68,0.0005620299198280849,56,0.0004628481692701876,74,0.0006116207951070336,6BCE
-450,"('5BCE', -500, -401)",4590,0.0020148793793995923,2249,0.000987246998751565,94,4.126332498116812e-05,846,0.0003713699248305131,5919,0.002598272559186533,1205,0.0005289607085351871,1900,0.0008340459304704194,497,0.00021816885654936762,5BCE
-350,"('4BCE', -400, -301)",3591,0.0010429151904619873,1784,0.000518117710883928,61,1.771590827573969e-05,616,0.0001789016311123877,8606,0.002499395190508455,2148,0.0006238323110867026,3110,0.0009032208973368924,716,0.0002079441036955675,4BCE
-250,"('3BCE', -300, -201)",4662,0.0020820502880794806,357,0.00015943628332140165,40,1.786400933573128e-05,266,0.00011879566208261301,1428,0.0006377451332856066,498,0.0002224069162298544,686,0.0003063677601077914,213,9.512584971276905e-05,3BCE
-150,"('2BCE', -200, -101)",4519,0.0030121003917930097,96,6.398797026159082e-05,42,2.7994736989445986e-05,179,0.00011931090288359122,802,0.00053456616822704,108,7.198646654428968e-05,591,0.0003939259419229185,180,0.00011997744424048279,2BCE
-50,"('1BCE', -100, -1)",5062,0.0027343553765302423,548,0.0002960147661672408,83,4.483435326985581e-05,1226,0.000662252013359557,2911,0.0015724434020307262,1793,0.0009685300652150779,918,0.0004958787506232245,795,0.00042943748011488395,1BCE
50,"('1CE', 1, 100)",11581,0.002650855685502903,1112,0.00025453341872715894,138,3.158778038160785e-05,1888,0.0004321574591338814,5564,0.0012735826814729428,2525,0.000577964822199709,1792,0.00041018335104232807,1698,0.0003886670368693488,1CE
150,"('2CE', 101, 200)",22374,0.0018954548307963037,4295,0.00036385887629704675,244,2.0670911715129083e-05,2408,0.00020399817790996242,15968,0.0013527586814228738,4000,0.0003388674051660505,3749,0.00031760347549188086,1979,0.0001676546487059035,2CE
250,"('3CE', 201, 300)",15513,0.0029127569856035114,1312,0.00024634417360354583,114,2.1404905328356882e-05,708,0.00013293572782874274,7305,0.0013716038019618159,2174,0.00040819529985831453,2107,0.00039561522391971885,683,0.00012824166964269955,3CE
350,"('4CE', 301, 400)",13431,0.0030942135143248195,331,7.625528056298975e-05,341,7.855906547425832e-05,496,0.00011426773159892118,4391,0.00101159195453803,1287,0.00029649711808026524,1879,0.0004328811848273647,904,0.00020826215597867894,4CE
450,"('5CE', 401, 500)",2899,0.0014737460703493882,680,0.00034568724658074645,164,8.337163005770944e-05,215,0.00010929817355126542,2120,0.0010777308275752683,724,0.00036805524488891237,674,0.00034263706499326925,334,0.00016979344170289605,5CE
550,"('6CE', 501, 600)",1563,0.00041831284233807706,37,9.902479313185446e-06,34,9.099575585089328e-06,36,9.634844737153406e-06,1897,0.0005077027907327781,459,0.00012284427039870594,281,7.520531586500297e-05,41,1.0973017617313602e-05,6CE
